top - 16:48:38 up 2 days,  2:01,  0 users,  load average: 0,38, 0,55, 0,50
Tasks: 274 total,   3 running, 271 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37,9 us,  7,6 sy,  0,0 ni, 54,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7782,7 total,    306,5 free,   2382,3 used,   5093,8 buff/cache
MiB Swap:   2048,0 total,   2047,7 free,      0,2 used.   4954,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  33341 dead_sp+  20   0 4079148 106972  68076 S  93,8   1,3   0:02.49 vsdbg-ui
    596 root      20   0  137428   9468   8636 S   0,0   0,1   0:05.59 thermald
    604 root      20   0  392816  13188  10376 S   0,0   0,2   0:27.46 udisksd
    605 root      20   0   13688   4788   4200 S   0,0   0,1   0:00.43 wpa_sup+
    617 avahi     20   0    8352    328      0 S   0,0   0,0   0:00.00 avahi-d+
    676 root      20   0  129188  22644  14520 S   0,0   0,3   0:00.14 unatten+
    697 root      20   0  313756  10440   8772 S   0,0   0,1   0:00.09 ModemMa+
    715 root      20   0  305880   6984   6028 S   0,0   0,1   0:00.02 lightdm
    731 root      20   0   26492   4420   3396 S   0,0   0,1   0:00.17 xrdp-se+
    766 xrdp      20   0   24224   2248   1636 S   0,0   0,0   0:00.41 xrdp
    789 root      20   0  194044  18776  14044 S   0,0   0,2   0:04.32 apache2
    813 mysql     20   0 2200648 359408  35040 S   0,0   4,5   3:46.40 mysqld
    825 root      20   0  764736  42788  25440 S   0,0   0,5   0:04.18 Xorg
    832 root      20   0   19596   1744   1628 S   0,0   0,0   0:00.00 agetty
    929 root      20   0  159868   7836   6852 S   0,0   0,1   0:00.01 lightdm
    933 lightdm   20   0   18772  10120   8164 S   0,0   0,1   0:00.32 systemd
    934 lightdm   20   0  171152   3476      4 S   0,0   0,0   0:00.00 (sd-pam)
    939 lightdm    9 -11 1081652  18212  13832 S   0,0   0,2   0:00.11 pulseau+
    941 lightdm   39  19  596568  26192  16488 S   0,0   0,3   0:00.23 tracker+
    947 lightdm   20   0    2616    532    468 S   0,0   0,0   0:00.00 lightdm+
    948 lightdm   20   0 1168360  57316  42744 S   0,0   0,7   0:05.46 unity-g+
    951 lightdm   20   0    7696   4840   3892 S   0,0   0,1   0:00.74 dbus-da+
    952 rtkit     21   1  152940   3004   2768 S   0,0   0,0   0:01.60 rtkit-d+
    959 lightdm   20   0  250876   7740   6844 S   0,0   0,1   0:00.02 gvfsd
    974 lightdm   20   0  312808   6240   5588 S   0,0   0,1   0:00.01 gvfsd-f+
    976 lightdm   20   0  325080   9032   7640 S   0,0   0,1   0:04.69 gvfs-ud+
    989 lightdm   20   0  305400   5804   5284 S   0,0   0,1   0:00.01 at-spi-+
    994 lightdm   20   0    7116   3960   3604 S   0,0   0,0   0:00.00 dbus-da+
    996 lightdm   20   0  246864   6452   5868 S   0,0   0,1   0:00.02 gvfs-mt+
   1000 lightdm   20   0  247036   6176   5656 S   0,0   0,1   0:00.02 gvfs-go+
   1006 lightdm   20   0  556176  36324  30440 S   0,0   0,5   0:00.21 goa-dae+
   1015 lightdm   20   0  325916   8972   7924 S   0,0   0,1   0:00.67 goa-ide+
   1021 lightdm   20   0  249272   7220   6380 S   0,0   0,1   0:00.02 gvfs-gp+
   1026 lightdm   20   0  156100   5296   4780 S   0,0   0,1   0:00.00 dconf-s+
   1033 lightdm   20   0  327884   8832   7836 S   0,0   0,1   0:03.34 gvfs-af+
   1036 lightdm   20   0  480792  41824  31496 S   0,0   0,5   0:01.17 nm-appl+
   1038 lightdm   20   0  162772   6752   6120 S   0,0   0,1   0:00.01 at-spi2+
   1041 lightdm   20   0  436956  29340  22760 S   0,0   0,4   0:00.73 unity-s+
   1044 lightdm   20   0  255068  12096  10660 S   0,0   0,2   0:00.02 indicat+
   1046 lightdm   20   0  545592   7452   6648 S   0,0   0,1   0:00.00 indicat+
   1049 lightdm   20   0  380468  17720  15476 S   0,0   0,2   0:01.81 indicat+
   1052 lightdm   20   0  383428  19400  16208 S   0,0   0,2   0:00.09 indicat+
   1059 lightdm   20   0  740764   7972   6932 S   0,0   0,1   0:00.03 indicat+
   1062 lightdm   20   0  932200  11380   9864 S   0,0   0,1   0:00.02 indicat+
   1065 root      20   0  263284   9820   8656 S   0,0   0,1   0:00.14 upowerd
   1104 whoopsie  20   0  326852  15344  13420 S   0,0   0,2   0:00.31 whoopsie
   1109 kernoops  20   0   11264    452      0 S   0,0   0,0   0:03.74 kernelo+
   1118 kernoops  20   0   11264    444      0 S   0,0   0,0   0:03.75 kernelo+
   1179 colord    20   0  257408  14512   9276 S   0,0   0,2   0:00.24 colord
   1183 root      20   0   12292   5952   5236 S   0,0   0,1   0:00.00 lightdm
   1270 lightdm   20   0  229924   5552   5020 S   0,0   0,1   0:00.00 xfconfd
   1686 root      20   0   26336   3808   2828 S   0,0   0,0   0:00.00 xrdp-se+
   1688 dead_sp+  20   0   18740   9980   8156 S   0,0   0,1   0:00.28 systemd
   1689 dead_sp+  20   0  171152   3488      4 S   0,0   0,0   0:00.00 (sd-pam)
   1695 dead_sp+  20   0  291680  14524  12612 S   0,0   0,2   0:00.07 pulseau+
   1697 dead_sp+  39  19  866812  26856  16880 S   0,0   0,3   0:00.80 tracker+
   1699 dead_sp+  20   0    7392   4680   3968 S   0,0   0,1   0:00.26 dbus-da+
   1700 dead_sp+  20   0   20660   3276   3032 S   0,0   0,0   0:00.01 bash
   1719 dead_sp+  20   0  250876   7712   6812 S   0,0   0,1   0:00.04 gvfsd
   1724 dead_sp+  20   0  378344   6416   5760 S   0,0   0,1   0:00.01 gvfsd-f+
   1731 dead_sp+  20   0  398908   9776   8188 S   0,0   0,1   0:04.58 gvfs-ud+
   1737 dead_sp+  20   0  246864   6276   5692 S   0,0   0,1   0:00.03 gvfs-mt+
   1742 dead_sp+  20   0  247036   6168   5640 S   0,0   0,1   0:00.03 gvfs-go+
   1746 dead_sp+  20   0  556176  37088  31112 S   0,0   0,5   0:00.20 goa-dae+
   1753 dead_sp+  20   0  325916   9008   7956 S   0,0   0,1   0:00.60 goa-ide+
   1758 dead_sp+  20   0  249272   6952   6256 S   0,0   0,1   0:00.03 gvfs-gp+
   1763 dead_sp+  20   0  327884   9088   8080 S   0,0   0,1   0:03.23 gvfs-af+
   1764 dead_sp+  20   0  102984   5656   4460 S   0,0   0,1  36:49.59 xrdp-ch+
   1818 dead_sp+  20   0    7172   2060   1632 S   0,0   0,0   0:00.00 dbus-la+
   1820 dead_sp+  20   0    7116   2540   2156 S   0,0   0,0   0:00.00 dbus-da+
   1855 dead_sp+  20   0    7172   2068   1640 S   0,0   0,0   0:00.00 dbus-la+
   1856 dead_sp+  20   0    7996   4124   2804 S   0,0   0,1   0:35.50 dbus-da+
   1865 dead_sp+  20   0    6040    460      0 S   0,0   0,0   0:00.37 ssh-age+
   1874 dead_sp+  20   0 1280268  55604  42608 S   0,0   0,7   0:05.93 xfce4-s+
   1890 dead_sp+  20   0  305404   6756   6192 S   0,0   0,1   0:00.00 at-spi-+
   1895 dead_sp+  20   0    7380   4328   3860 S   0,0   0,1   0:00.70 dbus-da+
   1899 dead_sp+  20   0  230208   5988   5160 S   0,0   0,1   0:01.22 xfconfd
   1905 dead_sp+  20   0  162912   6508   5868 S   0,0   0,1   0:01.53 at-spi2+
   1911 dead_sp+  20   0   94964   3640   3400 S   0,0   0,0   0:00.00 gpg-age+
   1913 dead_sp+  20   0 1286540 105920  66440 S   0,0   1,3   2:27.93 xfwm4
   1917 dead_sp+  20   0  250876   7788   6816 S   0,0   0,1   0:00.16 gvfsd
   1922 dead_sp+  20   0  378344   6352   5696 S   0,0   0,1   0:00.00 gvfsd-f+
   1942 dead_sp+  20   0  239632  20460  14692 S   0,0   0,3   0:01.45 xfsetti+
   1949 dead_sp+  20   0  359676  72336  33908 S   0,0   0,9   0:28.37 xfce4-p+
   1953 dead_sp+  20   0  556132  53328  35168 S   0,0   0,7   1:21.30 Thunar
   1958 dead_sp+  20   0  355528  70328  34112 S   0,0   0,9   0:12.13 xfdeskt+
   1961 dead_sp+  20   0  204612  22552  17452 S   0,0   0,3   0:00.33 panel-6+
   1962 dead_sp+  20   0  322388  38992  31532 S   0,0   0,5   3:00.23 panel-8+
   1963 dead_sp+  20   0  250932  37056  30140 S   0,0   0,5   0:00.41 panel-1+
   1964 dead_sp+  20   0  206960  25884  20548 S   0,0   0,3   0:00.48 panel-1+
   1974 dead_sp+  20   0  428136  29248  22952 S   0,0   0,4   0:02.53 update-+
   1986 dead_sp+  20   0  156360   5836   5088 S   0,0   0,1   0:00.09 dconf-s+
   1987 dead_sp+  20   0  642308  55188  44516 S   0,0   0,7   0:00.43 evoluti+
   1990 dead_sp+  39  19  801528  27168  16916 S   0,0   0,3   0:00.81 tracker+
   1992 dead_sp+  20   0   70648  34540  18532 S   0,0   0,4   0:01.00 applet.+
   2005 dead_sp+  20   0  282720  29244  23568 S   0,0   0,4   0:00.31 xfce4-n+
   2017 dead_sp+  20   0  248056   4784   4328 S   0,0   0,1   0:00.00 agent
   2021 dead_sp+  20   0  511840  33536  27060 S   0,0   0,4   0:00.90 nm-appl+
   2026 dead_sp+  20   0  851564   9280   7780 S   0,0   0,1   0:00.10 xiccd
   2047 dead_sp+  20   0 1081344  25768  21924 S   0,0   0,3   0:00.11 evoluti+
   2060 dead_sp+  20   0  398896   9636   7908 S   0,0   0,1   0:04.53 gvfs-ud+
   2083 dead_sp+  20   0  556180  36488  30624 S   0,0   0,5   0:00.20 goa-dae+
   2088 dead_sp+  20   0  246864   6148   5560 S   0,0   0,1   0:00.11 gvfs-mt+
   2097 dead_sp+  20   0  247036   6728   5964 S   0,0   0,1   0:00.11 gvfs-go+
   2105 dead_sp+  20   0  325916   8920   7864 S   0,0   0,1   0:00.53 goa-ide+
   2113 dead_sp+  20   0  249272   7448   6604 S   0,0   0,1   0:00.11 gvfs-gp+
   2118 dead_sp+  20   0  327884   8900   7876 S   0,0   0,1   0:03.22 gvfs-af+
   2131 dead_sp+  20   0  849840  30132  26336 S   0,0   0,4   0:00.26 evoluti+
   2136 dead_sp+  20   0  325376   8412   7048 S   0,0   0,1   0:00.37 gvfsd-t+
   2142 dead_sp+  20   0  173492   6532   5840 S   0,0   0,1   0:01.06 gvfsd-m+
   2152 dead_sp+  20   0  684344  29548  26048 S   0,0   0,4   0:00.20 evoluti+
   2217 dead_sp+  20   0  373476  25808  14932 S   0,0   0,3   0:06.01 tracker+
   2248 dead_sp+  20   0  398980   8552   7588 S   0,0   0,1   0:00.02 gvfsd-n+
   2260 dead_sp+  20   0  326148   8240   7280 S   0,0   0,1   0:00.06 gvfsd-d+
   2525 dead_sp+  20   0  445448  27360  15144 S   0,0   0,3   0:05.44 tracker+
   3874 dead_sp+  20   0  251352   9112   8156 S   0,0   0,1   0:00.48 gnome-k+
  12790 www-data  20   0  194840  10404   5312 S   0,0   0,1   0:00.07 apache2
  12791 www-data  20   0  194840  10396   5312 S   0,0   0,1   0:00.03 apache2
  12792 www-data  20   0  194840  10400   5312 S   0,0   0,1   0:00.03 apache2
  12793 www-data  20   0  194840  10404   5312 S   0,0   0,1   0:00.03 apache2
  12794 root      20   0   39716   9220   7472 S   0,0   0,1   0:00.01 cupsd
  12796 root      20   0  178400  12492  10924 S   0,0   0,2   0:00.11 cups-br+
  14076 www-data  20   0  194840  10392   5312 S   0,0   0,1   0:00.02 apache2
  14695 dead_sp+  20   0  173424   6476   5856 S   0,0   0,1   0:00.01 gvfsd-m+
  16134 www-data  20   0  194840  10396   5312 S   0,0   0,1   0:00.04 apache2
  16135 www-data  20   0  194840  10396   5312 S   0,0   0,1   0:00.04 apache2
  16136 www-data  20   0  194840  10400   5312 S   0,0   0,1   0:00.02 apache2
  16186 www-data  20   0  194840  10400   5312 S   0,0   0,1   0:00.00 apache2
  18188 dead_sp+  20   0   19252    104      0 S   0,0   0,0   0:00.00 hddtemp
  25795 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 uas
  26148 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop10
  26263 root       0 -20       0      0      0 S   0,0   0,0   0:00.10 loop11
